,video_id,root_dir,narration_id,narration,narration_timestamp,start_frame,end_frame,verb_class,noun_class
0,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_0,close door,00:00:02.103,6,381,4,3
1,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_1,pick up plate,00:00:07.615,281,493,0,2
2,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_2,open cupboard,00:00:09.850,393,531,3,3
3,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_3,put plate into cupboard,00:00:10.600,431,593,5,2
4,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_4,close cupboard,00:00:11.850,493,668,4,3
5,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_5,pick up wok,00:00:13.351,568,806,0,5
6,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_6,open cupboard,00:00:16.100,706,918,3,3
7,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_7,pick up paper,00:00:18.350,818,956,0,49
8,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_8,put paper onto wok,00:00:19.101,856,1006,1,49
9,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_9,move pans,00:00:20.100,906,1068,11,5
10,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_10,put wok into cupboard,00:00:21.352,968,1106,5,3
11,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_11,put pans onto cupboard,00:00:22.107,1006,1168,1,5
12,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_12,close cupboard,00:00:23.353,1068,1281,4,3
13,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_13,pick up cutting board,00:00:25.600,1181,1431,0,18
14,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_14,open cupboard,00:00:28.606,1331,1506,3,3
15,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_15,put cutting board into cupboard,00:00:30.100,1406,1731,1,18
16,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_16,pick up cup,00:00:34.600,1631,1768,0,13
17,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_17,put down cup,00:00:35.350,1668,1843,1,13
18,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_18,take spatula,00:00:36.850,1743,1918,0,20
19,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_19,take knife,00:00:38.351,1818,1968,0,4
20,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_20,attach knife onto magnetic holder,00:00:39.359,1868,2006,64,4
21,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_21,pick up knife,00:00:40.100,1906,2056,0,4
22,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_22,attach knife onto magnetic holder,00:00:41.101,1956,2168,64,4
23,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_23,pick up cutlery,00:00:43.350,2068,2243,0,58
24,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_24,open drawer,00:00:44.850,2143,2306,3,8
25,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_25,put spatula into drawer,00:00:46.100,2206,2343,5,20
26,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_26,move cutlery tray,00:00:46.850,2243,2406,11,35
27,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_27,put down peeler,00:00:48.102,2306,2443,1,87
28,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_28,put down knife,00:00:48.850,2343,2481,1,4
29,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_29,put down fork,00:00:49.600,2381,2518,1,14
30,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_30,close drawer,00:00:50.351,2418,2618,4,8
31,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_31,move colander,00:00:52.351,2518,2668,11,39
32,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_32,pick up cafetiere,00:00:53.350,2568,2718,0,50
33,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_33,pick up cafetiere plunger,00:00:54.350,2618,2768,0,50
34,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_34,put cafetiere plunger into cafetiere,00:00:55.350,2668,2931,5,50
35,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_35,open cupboard,00:00:58.600,2831,2968,3,3
36,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_36,put cafetiere into cupboard,00:00:59.350,2868,3043,5,50
37,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_37,close cupboard,00:01:00.850,2943,3131,4,3
38,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_38,close cupboard,00:01:02.615,3031,3318,4,3
39,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_39,pick up spoon,00:01:06.350,3218,3368,0,1
40,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_40,put down spoon,00:01:07.351,3268,3455,1,1
41,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_41,open rice cooker,00:01:09.100,3355,3493,3,152
42,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_42,take rice cooker,00:01:09.850,3393,3568,0,152
43,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_43,close rice cooker,00:01:11.350,3468,3631,4,152
44,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_44,put down rice cooker pot,00:01:12.601,3531,3631,1,29
45,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_45,turn on tap,00:01:12.602,3531,3706,6,0
46,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_46,rinse pot,00:01:14.101,3606,4068,2,29
47,P01_103,../2g1n6qdydwa9u22shpxqzp0t8m/P01,P01_103_47,turn off tap,00:01:21.350,3968,4131,8,0
